name,open,last_count,percent_occupied,last_updated
Will Vill - Main Weight Room,True,22,62.857142857143,2024-09-03 22:41:00
Rec Center Main Weight Room,True,26,19.259259259259,2024-09-05 22:45:00
1st Floor Stretching/Ab Area,True,1,2.8571428571429,2024-09-05 22:45:00
Climbing Gym,True,6,12,2024-09-05 22:43:00
Buffalo Pool,True,0,0,2024-09-05 20:01:00
Rec Center Weight Room Annex,True,20,26.666666666667,2024-09-05 22:45:00
Mat Room Medium,True,0,0,2024-09-05 22:45:00
Will Vill - Lobby Cardio,True,0,0,2024-09-03 22:41:00
Base Training 1 (F45),True,1,2.2727272727273,2024-09-05 22:45:00
Base Training 2 (Crossfit),True,1,5.8823529411765,2024-09-05 22:45:00
Competition Pool,True,1,0.5,2024-09-05 21:01:00
Mat Room,False,3,0,2024-09-05 20:48:00
Will Vill - Multipurpose Room,True,1,1.25,2024-09-03 22:41:00
Studio 4,True,0,0,2024-09-05 22:45:00
Dive Well,True,4,2.6666666666667,2024-09-05 21:01:00
Studio 3,False,0,0,2024-09-05 22:02:00
Tennis Court 1,False,0,0,2024-08-16 11:14:00
Tennis Court 2,False,0,0,2024-08-21 15:22:00
Tennis Court 3,False,0,0,2024-08-21 15:22:00
Racquetball Court 1,True,0,0,2024-09-05 22:43:00
Racquetball Court 2,True,0,0,2024-09-05 22:43:00
Will Vill - 2nd Floor Cardio Balcony,True,1,33.333333333333,2024-09-03 22:41:00
Will Vill - Ab Room,True,0,0,2024-09-03 22:41:00
Cycle Studio,False,0,0,2024-09-05 20:48:00
2nd Floor Overlook Cardio Equipment,True,0,0,2024-08-26 11:07:00
Track Strength&Cardio,True,6,24,2024-09-05 22:45:00
Will Vill - 2nd Floor TRX Room,True,2,25,2024-09-03 22:41:00
Turf Gym,True,9,18,2024-09-05 22:45:00
Slam Ball (Brick Wall) Room,True,1,4,2024-08-26 11:07:00
2nd Floor Basketball Cardio,True,2,20,2024-09-05 22:45:00
Ice Rink,False,0,0,2024-09-05 22:43:00
Ping Pong Lounge,True,0,0,2024-09-05 22:43:00
Pool Overlook Cardio,True,5,9.6153846153846,2024-09-05 22:45:00
Upper Gym,True,30,6,2024-09-05 22:43:00
Studio 2,True,0,0,2024-09-05 22:45:00
Studio 4,True,0,0,2024-09-05 22:43:00
Lower Gym,True,9,1.8,2024-09-05 22:43:00
Fitness Court,True,0,0,2024-09-05 22:45:00
Studio 1,False,0,0,2024-09-05 20:48:00
Front Lobby Cardio (Green Zone),True,3,8.1081081081081,2024-09-05 22:45:00
3rd Floor Functional Training,True,16,21.333333333333,2024-09-05 22:45:00
Mind Body Studio,True,2,4.4444444444444,2024-09-05 22:45:00
Rockwall Overlook,True,5,11.111111111111,2024-09-05 22:45:00
Basketball Overlook,True,1,4,2024-09-05 22:45:00
